year,week,SAN JOSE,ALAJUELA,HEREDIA,SAN CARLOS,PUNTARENAS,DESAMPARADOS,CARTAGO,PEREZ ZELEDON,POCOCI,MONTES DE OCA,LIBERIA,GOICOECHEA,LIMON,SANTA CRUZ,GARABITO,SIQUIRRES,SAN RAMON,NICOYA,QUEPOS,CURRIDABAT,TURRIALBA,LA UNION,TIBAS,OSA,TALAMANCA,ESCAZU,SARAPIQUI,MATINA,CORREDORES,ALAJUELITA,GOLFITO,MORAVIA,UPALA,GRECIA,SANTA ANA,SAN RAFAEL,GUACIMO,VASQUEZ DE CORONADO,CARRILLO,SANTO DOMINGO,OROTINA,BUENOS AIRES,ASERRI,PARAISO,COTO BRUS,PARRITA,BARVA,ESPARZA,LOS CHILES,BELEN,EL GUARCO,SANTA BARBARA,OREAMUNO,PURISCAL,SAN PABLO,PALMARES,ATENAS,FLORES,NARANJO,CANAS,POAS,BAGACES,LA CRUZ,MORA,ABANGARES,TILARAN,SAN ISIDRO,GUATUSO,JIMENEZ,MONTES DE ORO,TARRAZU,ALVARADO,ACOSTA,LEON CORTES,SAN MATEO,VALVERDE VEGA,RIO CUARTO,NANDAYURE,HOJANCHA,TURRUBARES,ZARCERO,DOTA,MONTEVERDE
2015,45,170,60,43,35,22,31,31,35,36,21,23,24,18,15,24,19,16,27,16,9,20,10,18,5,10,15,11,17,16,19,12,7,12,19,9,6,11,8,10,9,6,7,8,5,11,11,8,9,6,2,3,4,1,4,5,3,2,0,5,12,1,2,2,3,1,6,3,2,3,0,3,1,0,1,0,2,0,5,1,0,2,2,0
2015,46,178,54,42,37,31,36,30,44,20,35,17,22,34,9,20,29,25,11,19,8,23,17,16,14,11,9,12,7,14,12,7,14,7,13,5,7,4,13,5,8,8,5,7,7,11,11,9,9,11,5,5,2,6,2,2,5,7,6,6,10,5,3,3,4,1,3,1,6,2,1,2,0,0,0,2,0,0,3,3,0,0,2,0
2015,47,163,48,29,27,30,23,20,24,33,17,26,20,32,12,29,19,19,13,16,12,22,19,12,8,9,11,13,6,11,10,11,10,12,16,12,8,10,2,7,9,5,2,7,5,11,13,11,1,5,7,3,5,2,7,8,3,3,4,2,12,2,3,4,1,3,4,1,2,4,1,2,2,2,0,0,2,0,0,0,0,1,0,0
2015,48,163,67,55,41,27,25,32,38,21,16,25,19,24,14,15,24,15,11,19,3,15,15,17,12,6,16,14,6,14,10,11,14,14,10,18,9,6,2,5,12,6,8,12,5,17,9,2,5,10,5,4,6,4,3,3,3,3,1,4,8,4,4,2,1,6,2,4,5,0,0,0,1,1,0,3,5,0,0,1,0,1,2,0
2015,49,181,56,42,39,45,20,22,52,29,22,13,20,33,24,29,21,24,15,13,21,16,12,14,9,12,14,16,8,9,17,8,13,17,12,9,5,12,8,10,9,5,11,9,3,4,2,8,7,6,2,3,4,5,4,4,5,4,5,4,5,3,8,4,3,6,0,3,2,2,3,0,4,1,2,2,3,0,0,2,0,1,0,0
2015,50,172,64,47,34,40,19,35,25,28,30,23,17,34,24,22,13,16,17,29,19,25,7,18,15,9,11,15,12,16,9,11,8,9,5,11,7,12,6,10,6,8,6,3,1,7,9,4,9,3,7,5,2,7,2,4,2,5,3,3,7,2,3,2,2,6,5,2,0,1,1,0,3,0,1,0,3,0,1,1,1,3,0,0
2015,51,156,68,51,34,58,20,31,38,25,26,26,17,27,6,14,15,13,13,13,12,19,11,21,6,11,6,14,17,5,20,8,13,11,6,15,10,10,5,5,5,3,6,8,11,3,4,6,9,3,5,10,7,4,3,0,3,6,4,3,7,3,7,2,2,6,3,0,2,1,2,1,0,2,2,1,1,0,4,0,0,0,0,0
2015,52,173,62,26,26,44,35,30,36,28,18,20,22,11,9,29,33,16,22,12,21,12,17,24,11,9,12,10,8,12,7,9,8,5,13,5,5,8,5,5,4,5,11,6,4,5,3,3,4,2,9,2,1,3,2,3,3,1,2,1,5,3,2,5,2,4,2,1,5,0,1,0,0,3,2,0,1,0,3,1,2,0,0,0
2015,53,80,63,16,14,24,15,13,11,9,9,13,11,17,23,13,14,8,10,12,6,6,4,11,15,6,5,4,12,6,7,9,6,4,4,4,7,8,10,10,3,2,5,6,5,4,8,4,5,3,3,2,1,10,0,3,5,4,4,0,4,3,1,1,0,1,4,3,0,1,0,0,0,0,0,0,4,0,1,1,0,1,1,0
2016,1,119,63,36,39,38,24,27,29,19,25,14,35,13,16,21,21,27,11,11,12,18,7,16,10,9,11,14,15,8,9,11,8,13,16,6,14,3,11,10,11,4,11,6,4,4,17,4,5,5,10,5,12,3,4,7,2,2,6,2,5,9,0,1,3,2,4,3,2,2,1,1,0,1,0,0,1,0,0,1,0,2,0,0
